id,cdate,land_wa,jeju_wa
626,2016-09-17,66.93,95.21
627,2016-09-18,71.84,94.92
628,2016-09-19,73.93,103.93
629,2016-09-20,72.41,94.7
630,2016-09-21,71.69,95.37
631,2016-09-22,72.42,94.96
632,2016-09-23,71.95,98.71
633,2016-09-24,74.6,95.91
634,2016-09-25,72.62,98.93
635,2016-09-26,73.08,93.87
636,2016-09-27,73.75,98.95
637,2016-09-28,73.18,101.26
638,2016-09-29,73.2,100.4
639,2016-09-30,72.53,99.1
640,2016-10-01,74.48,99.21
641,2016-10-02,72.13,97.89
642,2016-10-03,73.77,100.3
643,2016-10-04,74.19,106.19
644,2016-10-05,73.97,95.27
645,2016-10-06,74.14,98.19
646,2016-10-07,74.24,96.1
647,2016-10-08,73.83,96.56
648,2016-10-09,72.57,96.76
649,2016-10-10,73.72,100.38
650,2016-10-11,73.83,95.38
651,2016-10-12,73.83,99.38
652,2016-10-13,73.65,94.2
653,2016-10-14,72.94,96.84
654,2016-10-15,73.46,91.79
655,2016-10-16,72.66,83.42
656,2016-10-17,73.54,96.47
657,2016-10-18,73.16,97.45
658,2016-10-19,73.01,93.93
659,2016-10-20,73.15,99.02
660,2016-10-21,73.64,98.25
661,2016-10-22,74.09,95.11
662,2016-10-23,71.81,94.27
663,2016-10-24,73.4,96.26
664,2016-10-25,72.91,98.44
665,2016-10-26,72.31,96.36
666,2016-10-27,72.59,94.58
667,2016-10-28,72.72,94.07
668,2016-10-29,72.51,92.5
669,2016-10-30,72.12,81.7
670,2016-10-31,72.35,95.06
671,2016-11-01,74.13,94.56
672,2016-11-02,74.48,104.84
673,2016-11-03,73.78,100.9
674,2016-11-04,74.84,94.67
675,2016-11-05,74.22,102.22
676,2016-11-06,72.23,105.08
677,2016-11-07,74.48,105.81
678,2016-11-08,75.04,101.22
679,2016-11-09,75.54,106.23
680,2016-11-10,75.76,110.05
681,2016-11-11,75.87,104.11
682,2016-11-12,74.63,99.94
683,2016-11-13,72.3,94.24
684,2016-11-14,75.17,102.35
685,2016-11-15,75.35,92.82
686,2016-11-16,74.63,99.08
687,2016-11-17,74.44,100.94
688,2016-11-18,74.5,94.48
689,2016-11-19,73.27,102.27
690,2016-11-20,71.75,103.75
691,2016-11-21,74.1,96.33
692,2016-11-22,75.51,85.96
693,2016-11-23,74.87,96.07
694,2016-11-24,75.67,96.75
695,2016-11-25,75.65,94.44
696,2016-11-26,76.3,96.59
697,2016-11-27,74.22,96.28
698,2016-11-28,76.03,94.97
699,2016-11-29,77.06,88.93
700,2016-11-30,77.03,85.0
701,2016-12-01,88.23,100.48
702,2016-12-02,87.81,104.06
703,2016-12-03,86.3,102.77
704,2016-12-04,84.99,101.15
705,2016-12-05,88.18,102.44
706,2016-12-06,87.83,107.11
707,2016-12-07,87.7,102.72
708,2016-12-08,87.29,100.0
709,2016-12-09,87.07,102.27
710,2016-12-10,86.5,104.82
711,2016-12-11,85.27,102.93
712,2016-12-12,87.41,102.4
713,2016-12-13,87.28,103.97
714,2016-12-14,87.92,103.33
715,2016-12-15,88.36,110.58
716,2016-12-16,87.99,101.76
717,2016-12-17,86.29,104.13
718,2016-12-18,84.83,109.42
719,2016-12-19,87.06,115.74
720,2016-12-20,88.16,105.88
721,2016-12-21,86.8,93.0
722,2016-12-22,87.01,95.6
723,2016-12-23,86.94,101.9
724,2016-12-24,83.65,104.02
725,2016-12-25,82.87,103.23
726,2016-12-26,85.24,105.73
727,2016-12-27,87.03,115.33
728,2016-12-28,87.39,101.9
729,2016-12-29,87.24,104.98
730,2016-12-30,86.81,101.21
731,2016-12-31,84.05,104.41
732,2017-01-01,76.26,103.01
733,2017-01-02,87.67,104.23
734,2017-01-03,87.82,101.69
735,2017-01-04,87.67,104.07
736,2017-01-05,87.32,101.22
737,2017-01-06,87.5,104.28
738,2017-01-07,85.48,103.42
739,2017-01-08,83.91,102.91
740,2017-01-09,87.4,114.03
741,2017-01-10,87.91,106.55
742,2017-01-11,87.89,110.5
743,2017-01-12,88.1,105.87
744,2017-01-13,88.52,109.6
745,2017-01-14,85.85,109.2
746,2017-01-15,84.68,104.33
747,2017-01-16,88.43,104.66
748,2017-01-17,88.44,102.92
749,2017-01-18,88.65,110.89
750,2017-01-19,89.62,107.58
751,2017-01-20,89.67,106.53
752,2017-01-21,87.27,105.79
753,2017-01-22,85.95,103.49
754,2017-01-23,89.78,113.9
755,2017-01-24,89.18,118.61
756,2017-01-25,88.71,110.17
757,2017-01-26,87.75,110.11
758,2017-01-27,84.06,100.24
759,2017-01-28,67.97,104.87
760,2017-01-29,63.07,89.24
761,2017-01-30,82.31,103.35
762,2017-01-31,87.79,104.6
763,2017-02-01,92.59,125.05
764,2017-02-02,91.89,132.36
765,2017-02-03,91.76,119.14
766,2017-02-04,89.73,126.91
767,2017-02-05,87.79,123.64
768,2017-02-06,92.0,116.15
769,2017-02-07,91.32,121.73
770,2017-02-08,91.03,117.52
771,2017-02-09,91.77,122.87
772,2017-02-10,91.85,128.2
773,2017-02-11,89.72,129.74
774,2017-02-12,87.59,115.89
775,2017-02-13,91.57,118.53
776,2017-02-14,91.27,127.13
777,2017-02-15,91.26,122.32
778,2017-02-16,90.94,107.06
779,2017-02-17,91.39,113.44
780,2017-02-18,90.12,119.94
781,2017-02-19,88.08,120.76
782,2017-02-20,91.91,121.8
783,2017-02-21,91.24,120.76
784,2017-02-22,91.11,126.95
785,2017-02-23,91.13,124.0
786,2017-02-24,91.33,116.7
787,2017-02-25,88.9,107.61
788,2017-02-26,87.31,116.5
789,2017-02-27,91.1,118.97
790,2017-02-28,90.94,128.75
791,2017-03-01,91.97,136.84
792,2017-03-02,92.64,119.2
793,2017-03-03,92.49,116.33
794,2017-03-04,90.47,132.11
795,2017-03-05,89.03,136.42
796,2017-03-06,91.71,135.34
797,2017-03-07,92.79,135.49
798,2017-03-08,92.55,133.46
799,2017-03-09,92.54,118.82
800,2017-03-10,92.87,133.88
801,2017-03-11,91.45,134.51
802,2017-03-12,89.49,128.14
803,2017-03-13,93.32,113.95
804,2017-03-14,93.35,126.33
805,2017-03-15,92.61,121.81
806,2017-03-16,92.46,127.98
807,2017-03-17,92.4,133.49
808,2017-03-18,89.88,129.53
809,2017-03-19,88.17,130.88
810,2017-03-20,91.41,130.45
811,2017-03-21,91.98,115.29
812,2017-03-22,92.55,132.63
813,2017-03-23,91.97,135.34
814,2017-03-24,91.91,134.35
815,2017-03-25,90.16,136.45
816,2017-03-26,86.92,135.55
817,2017-03-27,90.76,133.9
818,2017-03-28,92.24,120.46
